"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"DRREDDY",3862,16704,20566,30583.430125,2105.5099375,32688.9400625,33622,1264
"JINDALSTEL",4804,19843,24647,30759.531,1837.0323125,32596.5633125,41326,1014
"POWERGRID",5448,25834,31282,30020.36309,1961.06201,31981.4251,63281,288.65
"KAYNES",3942,25276,29218,28183.57991,3369.05733,31552.63724,37316,7098
"ASTRAL",4777,16268,21045,29009.480085,1755.592975,30765.07306,30629,1424.6
"SUNPHARMA",4688,44598,49286,27508.87566,3084.75272,30593.62838,71195,1670
"ADANIGREEN",4146,25219,29365,26579.60514,3752.62638,30332.23152,60607,1064.2
"PRESTIGE",3618,24892,28510,26464.31469,3631.711545,30096.026235,17441,1619
"ONGC",4957,32882,37839,27545.35185,2247.331725,29792.683575,76512,245.9
"HDFCLIFE",3415,10145,13560,28357.79386,1178.47444,29536.2683,41711,748.8
"PFC",5116,21100,26216,27097.34456,1916.86092,29014.20548,73458,404.3
"SYNGENE",4086,15459,19545,26582.763,2301.5001,28884.2631,14839,651
"IOC",3445,17831,21276,26230.318725,2368.7542125,28599.0729375,34341,153.8
"AUBANK",3376,15151,18527,25824.6872,2307.8,28132.4872,32794,762.5
"HINDPETRO",2816,11067,13883,26131.42053,1835.537355,27966.957885,43096,452.9
"UNIONBANK",4160,13477,17637,25767.9963,1999.7278575,27767.7241575,30849,139.34
"PERSISTENT",4762,17404,22166,25622.17456,2069.76776,27691.94232,46465,5359
"GAIL",4586,14554,19140,26032.36734,1324.432935,27356.800275,51935,178.77
"VBL",5530,18860,24390,25486.924915,1754.425465,27241.35038,58945,443.85
"NESTLEIND",4295,12906,17201,25764.0118,1177.5716,26941.5834,49268,1199
"HFCL",4940,13418,18358,24502.220655,2254.524615,26756.74527,28143,76.01
"BHEL",3910,13717,17627,24820.71165,1834.2930375,26655.0046875,35783,240
"ABCAPITAL",2721,8776,11497,25026.7402,1347.20389,26373.94409,34677,293.7
"SBICARD",3438,10333,13771,24985.25544,1191.1712,26176.42664,37942,916.75
"LODHA",4525,16382,20907,23531.811615,2075.775975,25607.58759,40197,1153.6
